750767.268307,592175.832676,Jeżewo,MOP I Jeżewo,8,10,0
753603.352428,593336.073201 ,Radule,MOP II Radule,60,250,20
763012.194307,596086.031574,Złotoria,MOP II Złotoria,52,150,10
750644.519985,688229.622242,Rudniki ,MOP III Rudniki Południe,40,24,2
724859.053482,580193.815347 ,Gosie Małe,MOP II Kołaki,62,20,3
727651.437349,582349.286400 ,Kossaki-Borowe,Mop III  Kossaki ,63,15,5
476222.91,640470.10,Gajewo,MOP I Gajewo,32,23,3
476178.11,642285.11,Gajewo,MOP I Gajewo,32,23,3
480584.04,608667.41,Malankowo,MOP II Malankowo,163,35,8
480693.89,608948.71,Malankowo,MOP II Malankowo,175,35,8
481571.81,599328.81,Drzonowo,MOP I Drzonowo,51,14,3
481688.22,599250.51,Drzonowo,MOP I Drzonowo,59,21,3
482811.24,586367.84,Nowy Dwór,MOP I Nowy Dwór,48,13,4
482734.80,586496.00,Nowy Dwór,MOP I Nowy Dwór,32,15,3
482192.95,571996.07,Nowa Wieś,MOP III Nowa Wieś,63,18,4
482244.53,571736.39,Nowa Wieś,MOP II Nowa Wieś,121,29,7
481273.24,559679.47,Otłoczyn zach.,MOP II,127,29,6
481445.67,559345.18,Otłoczyn wsch.,MOP II,141,46,6
490105.08,544112.32,Kałęczynek zach.,MOP I,30,32,3
490285.53,543830.24,Kałęczynek wsch.,MOP I,36,35,3
495163.88,532254.12,Machnacz płd.,MOP III,83,17,5
495469.28,532226.02,Machnacz płn.,MOP II,133,38,7
500744.21,522479.06,Ludwinowo płd.,MOP I,30,22,2
501015.26,522367.90,Ludwinowo płn.,MOP I,23,20,2
512842.95,511058.96,Lubień płd.,MOP III,144,33,5
513098.83,511033.69,Lubień płn.,MOP II,92,26,4
524213.83,497161.22,Strzelce płd.,MOP I,30,35,6
524302.36,497165.36,Strzelce płn.,MOP I,33,27,6
475924.84,703209.59,KLESZCZEWKO,MOP I Kleszczewko,29,24,2
476088.88,702888.38,KLESZCZEWKO,MOP I Kleszczewko,29,24,2
475681.95,669180.66,OLSZE,MOP II Olsze,57,22,2
475803.13,669510.33,OLSZE,MOP II Olsze,64,15,2
487112.51,715386.40,KOSZWAŁY,MOP II Koszwały,47,25,2
501317.09,282082.47,gm. Bobrowniki,MOP I Dobieszowice Zachód,75,33,2
501023.31,281888.99,gm. Bobrowiniki,MOP I Dobieszowice Wschód,70,13,3
481912.90,278333.17,gm. Zbrosławice,MOP III Wieszowa Północ,169,81,2
481423.95,278132.35,gm. Zbrosławice,MOP II Wieszowa Południe,128,54,9
478705.34,258955.78,gm. Knurów,MOP I Knurów Zachód,63,14,2
478799.00,258717.13,gm. Knurów,MOP I Knurów Wschód,63,14,2
475897.84,245456.45,m. Żory,MOP II Rowień Zachód,64,35,0
475957.63,245232.61,m. Żory,MOP II Rowień Wschód,96,18,0
465129.01,232395.80,gm. Mszana,MOP III Mszana Północ,161,21,6
456593.28,284450.07,gm. Rudziniec,MOP I Chechło,59,17,1
456941.48,284230.20,gm. Rudziniec,MOP I Proboszczowice,59,40,1
468096.74,271383.42,gm. Sośnicowice,MOP II Kozłów,90,35,6
467975.82,271952.27,gm. Sośnicowice,MOP II Rachowice,91,30,7
491766.00,264904.00,Ruda Śląska,MOP III Wirek,99,48,0
491413.00,265028.00,Ruda Śląska,MOP II Halemba,70,35,0
521097.00,253513.00,Jaworzno,MOP III Kępnica,50,50,0
521611.00,253503.00,Jaworzno,MOP III Zastawie,50,30,0
515541.00,269546.00,Sosnowiec,MOP II - Stacja Paliw Shell,22,7,0
507731.00,253372.00,Lędziny,MOP II - Stacja Paliw Orlen,15,21,0
513889.00,266791.00,Sosnowiec,MOP II - Stacja Paliw BP,15,8,0
507485.00,253111.00,Lędziny,MOP II - Stacja Paliw Orlen,16,18,0
494256.57,216115.29,Jasienica,Stacja Shell Mc Donald Jasienica 75,50,10,0
491893.00,215293.00,Świętoszówka,Stacja Shell Świętoszówka,50,6,0
487976.00,214207.00,Pogórze,Stacja paliw Orlen Pogórze 25,20,20,0
478707.00,210936.00,Ogrodzona,MOP Ogrodzona stacja paliw BP Ogrodzona 166 Dębowicec,10,35,0
478266.00,210891.00,Gumna,MOP Gumna stacja paliw BP Gumna 124 Dębowiec,10,40,0
475119.00,211017.00,Cieszyn,MOP Cieszyn stacja paliw ARGE ul. Graniczna 55,10,18,0
474774.00,211003.00,Cieszyn,MOP Cieszyn stacja paliw ARGE ul. Graniczna 50,36,38,0
627448.32,353247.56,Suchedniów,MOP II Suchedniów Zachód,59,15,0
622324.78,346791.71,Występa,MOP I Występa Zachód ,25,10,4
604395.52,331542.15,Szewce,MOP II Szewce Wschód ,37,16,0
604457.56,331663.86,Szewce,MOP II Szewce Zachód ,40,16,0
622105.31,346548.95,Występa,Parking ****** (Występa Wschód) ,42,12,0
585575.07,300006.02,Ludwinów,MOP I Ludwinów,38,24,4
588577.52,303982.96,Potok Mały,MOP I Potok Mały,40,15,2
554338.67,246028.85,Morawica gm. Liszki,MOP III Morawica,50,24,0
555287.10,246296.49,Aleksandrowice gm. Zabierzów,MOP II Aleksandrowice,43,21,0
595892.71,236551.45,gm. Kłaj,MOP III Kłaj,130,55,0
596203.68,236474.81,gm. Kłaj,MOP II Stanisławice,89,38,0
635108.64,243487.74,gm. Wierzchosławice,MOP II Rudka,93,40,0
635423.83,243200.86,gm. Wierzchosławice,MOP II Komorów,110,49,0
581605.82,239454.25,Zakrzów gm Niepołomice,MOP I Zakrzów,76,39,0
581716.95,239546.33,Podłęże gm Niepołomice,MOP I Podłęże,76,36,0
616165.63,237982.45,gm. Brzesko,MOP I Bagno,56,28,0
615462.63,238021.21,gm. Brzesko,MOP I Mokrzyska,56,28,0
726113.90,396387.68,Markuszów,MOP II Markuszów Północ,86,28,3
725686.92,396476.93,Markuszów,MOP III Markuszów Południe,93,35,3
533312.58,480299.09,gm. Krzyżanów,MOP II Krzyżanów Zachód,54,55,10
533305.36,479553.31,gm. Krzyżanów,MOP III Krzyżanów Wschód,32,31,10
537270.99,460253.13,gm. Głowno,MOP I Głowno Zachód,33,40,7
537343.00,460095.81,gm. Głowno,MOP I Głowno Wschód,33,39,7
545379.27,441841.25,gm. Nowosolna,MOP I Skoszewy Wschód,60,40,5
545379.27,441841.25,gm. Nowosolna,MOP I Skoszewy Zachód,60,40,5
541707.88,426396.95,miasto Łódź gm. Brójce,MOP II Wiśniowa Góra Wschód,30,22,4
541707.88,426396.95,miasto Łódź gm. Brójce,MOP III Wiśniowa Góra Zachód,30,22,4
491803.91,463120.32,gm. Świnice Warckie,MOP I Kozanki,35,20,20
491487.62,463255.20,gm. Uniejów,MOP I Zaborów,28,20,20
512389.44,453111.70,gm. Parzęczew,MOP II Chrząstów,114,26,6
512037.45,453249.06,gm. Parzęczew,MOP III Chrząstów,178,38,8
528211.43,450368.78,gm. Zgierz,MOP I Ciosny Północ,33,12,8
527933.32,450412.38,gm. Zgierz,MOP I Ciosny Południe,33,11,11
538675.12,447463.38,gm. Stryków,PPO Stryków,16,8,0
538110.23,447586.62,gm. Stryków,PPO Stryków,16,8,0
548905.64,448406.23,gm. Dmosin,MOP III Nowostawy,181,60,25
548337.41,448215.21,gm. Dmosin,MOP II Niesułków,133,45,15
569034.52,463108.72,gm. Łyszkowice,MOP II Parma,130,45,15
568626.62,462697.27,gm. Łyszkowice,MOP II Polesie,130,45,15
584974.47,468419.47,gm. Bolimów,MOP I Bolimów,30,10,4
584524.33,468369.43,gm.Bolimów,MOP I Mogiły,30,10,4
466716.71,387773.70,Chojny gm. Lututów,MOP II Chojny,50,23,8
466946.06,388068.80,Chojny gm. Lututów,MOP I Chojny,45,23,8
478885.47,406620.87,Dąbrowa Wielka gm. Sieradz,MOP I Dąbrowa Wielka,55,22,8
478883.98,407074.50,Dąbrowa Wielka gm. Sieradz,MOP II Dąbrowa Wielka,60,22,8
495388.04,412127.91,Paprotnia gm. Zapolice,MOP II Paprotnia,55,26,4
495852.65,412099.34,Paprotnia gm. Zapolice,MOP I Parotnia,55,22,8
505951.39,409632.22,Sięganów gm. Łask,MOP I Sięganów,55,22,8
505951.39,409632.22,Sięganów gm. Łask,MOP II Sięganów,65,25,5
530431.08,418668.97,gm. Rzgów,MOP I Guzew Północ,53,22,8
530101.87,418614.96,gm. Rzgów,MOP II Guzew Południe,53,25,5
556778.38,402287.15,gm. Wolbórz,Parking dla ADR Wolbórz,bd,3,0
557393.45,402944.62,gm. Wolbórz,Parking dla ADR Wolbórz,bd,3,0
590779.20,440059.69,gm. Rawa Maz.,Parking dla ADR Przewodowice,bd,3,0
547275.52,397486.99,Piotrków Tryb,obiekt obsługi uczestników ruchu drogowego,15,10,0
547275.52,397486.99,Piotrków Tryb,obiekt obsługi uczestników ruchu drogowego,70,bd,15
554227.08,399551.05,Proszenie ,obiekt obsługi uczestników ruchu drogowego Proszenie,50,40,20
560288.02,404391.68,Studzianki,obiekt obsługi uczestników ruchu drogowego,15,30,10
560958.33,404676.05,Studzianki,obiekt obsługi uczestników ruchu drogowego,30,20,10
561534.89,404766.68,Studzianki,obiekt obsługi uczestników ruchu drogowego,100,38,10
563176.30,405919.80,Jadwigów,obiekt obsługi uczestników ruchu drogowego,30,50,10
578191.14,420158.87,Lechów,obiekt obsługi uczestników ruchu drogowego,15,15,5
582302.76,424336.52,Wólka Jagielczyńska,obiekt obsługi uczestników ruchu drogowego,20,20,5
584982.32,430470.05,Podlas,obiekt obsługi uczestników ruchu drogowego,20,bd,2
584982.32,430470.05,Podlas,obiekt obsługi uczestników ruchu drogowego,20,20,0
595095.83,444858.87, Chrzczonowice,Parking dla ADR,bd,3,0
554206.77,399599.49,Proszenie,obiekt obsługi uczestników ruchu drogowego,20,9,0
554206.77,399599.49,Proszenie,obiekt obsługi uczestników ruchu drogowego,300,bd,50
557222.39,402786.99,Wolbórz,obiekt obsługi uczestników ruchu drogowego,20,20,10
558297.39,403477.62,Wolbórz,obiekt obsługi uczestników ruchu drogowego,20,30,10
560759.89,404651.05,Studzianki,obiekt obsługi uczestników ruchu drogowego,20,30,10
562849.59,405719.27,Studzianki,obiekt obsługi uczestników ruchu drogowego,35,20,10
564903.64,406847.93,Jadwigów,obiekt obsługi uczestników ruchu drogowego,10,15,10
572113.02,414225.27,Jakubów,obiekt obsługi uczestników ruchu drogowego,40,70,10
579697.22,421743.63,Czerniewice,obiekt obsługi uczestników ruchu drogowego,20,30,10
581558.57,423449.85,Wólka Jagielczyńska,obiekt obsługi uczestników ruchu drogowego,15,8,2
585050.29,430727.08,Podlas,obiekt obsługi uczestników ruchu drogowego,50,15,5
600672.94,452253.64,Huta Zawadzka,obiekt obsługi uczestników ruchu drogowego,15,15,bd
527103.39,697076.84,Nowe Pole,Nowa Holandia Nowe Pole 1B 82-310 Elbląg 2, MOP II (docelowo MOP III),80,20,5
529586.76,696956.53,Elbląg,Auto Kompleks Oaza ul. Bursztynowa 2 82-310 Elbląg - Gronowo Górne MOP III,20,5,5
532690.01,693919.42,Komorowo Żuławskie,Stacja Paliw Lukoil Komorowo Żuławskie 82-300 Elbląg,30,10,5
